entry_id,posting_date,entry_date,account_code,account_name,debit,credit,narration,posted_by
JV00001,24-05-2024,24-05-2024,4401,Power and fuel,494832.0,0.0,Electricity charges,amit.deshpande
JV00001,24-05-2024,24-05-2024,1332,Trade payables - other than micro and small,0.0,494832.0,Electricity charges,amit.deshpande
JV00002,11-04-2024,11-04-2024,1332,Trade payables - other than micro and small,28977.0,0.0,Payment to supplier,ravi.krishnan
JV00002,11-04-2024,11-04-2024,2282,Balances with banks in current accounts,0.0,28977.0,Payment to supplier,ravi.krishnan
JV00003,18-02-2025,18-02-2025,2282,Balances with banks in current accounts,34605.0,0.0,Collection from customer,ravi.krishnan
JV00003,18-02-2025,18-02-2025,2251,Trade receivables - considered good,0.0,34605.0,Collection from customer,ravi.krishnan
JV00004,16-10-2024,16-10-2024,2251,Trade receivables - considered good,1513143.0,0.0,Sale invoice raised,amit.deshpande
JV00004,16-10-2024,16-10-2024,3001,Sale of manufactured goods,0.0,1513143.0,Sale invoice raised,amit.deshpande
JV00005,14-02-2025,14-02-2025,4001,Cost of materials consumed,189899.0,0.0,Purchase of raw material,ravi.krishnan
JV00005,14-02-2025,14-02-2025,1332,Trade payables - other than micro and small,0.0,189899.0,Purchase of raw material,ravi.krishnan
JV00006,30-04-2024,30-04-2024,4401,Power and fuel,23855.0,0.0,Electricity charges,priya.sharma
JV00006,30-04-2024,30-04-2024,1332,Trade payables - other than micro and small,0.0,23855.0,Electricity charges,priya.sharma
JV00007,03-09-2024,03-09-2024,2251,Trade receivables - considered good,592895.0,0.0,Sale invoice raised,ravi.krishnan
JV00007,03-09-2024,03-09-2024,3001,Sale of manufactured goods,0.0,592895.0,Sale invoice raised,ravi.krishnan
JV00008,23-04-2024,23-04-2024,4409,Freight outward,42165.0,0.0,Outward freight,ravi.krishnan
JV00008,23-04-2024,23-04-2024,1332,Trade payables - other than micro and small,0.0,42165.0,Outward freight,ravi.krishnan
JV00009,24-05-2024,24-05-2024,4201,Salaries and wages,56294.0,0.0,Payroll for the month,ravi.krishnan
JV00009,24-05-2024,24-05-2024,1362,Employee benefits payable,0.0,56294.0,Payroll for the month,ravi.krishnan
JV00010,02-04-2024,02-04-2024,1332,Trade payables - other than micro and small,58055.0,0.0,Payment to supplier,amit.deshpande
JV00010,02-04-2024,02-04-2024,2282,Balances with banks in current accounts,0.0,58055.0,Payment to supplier,amit.deshpande
JV00011,21-08-2024,21-08-2024,4001,Cost of materials consumed,1611191.0,0.0,Purchase of raw material,ravi.krishnan
JV00011,21-08-2024,21-08-2024,1332,Trade payables - other than micro and small,0.0,1611191.0,Purchase of raw material,ravi.krishnan
JV00012,09-12-2024,09-12-2024,4409,Freight outward,21028.0,0.0,Outward freight,amit.deshpande
JV00012,09-12-2024,09-12-2024,1332,Trade payables - other than micro and small,0.0,21028.0,Outward freight,amit.deshpande
JV00013,09-07-2024,09-07-2024,4402,Repairs to machinery,12616.0,0.0,Machinery repairs,ravi.krishnan
JV00013,09-07-2024,09-07-2024,1332,Trade payables - other than micro and small,0.0,12616.0,Machinery repairs,ravi.krishnan
JV00014,21-01-2025,21-01-2025,2251,Trade receivables - considered good,2729053.0,0.0,Sale invoice raised,amit.deshpande
JV00014,21-01-2025,21-01-2025,3001,Sale of manufactured goods,0.0,2729053.0,Sale invoice raised,amit.deshpande
JV00015,06-05-2024,06-05-2024,4409,Freight outward,6335.0,0.0,Outward freight,priya.sharma
JV00015,06-05-2024,06-05-2024,1332,Trade payables - other than micro and small,0.0,6335.0,Outward freight,priya.sharma
JV00016,27-12-2024,27-12-2024,4402,Repairs to machinery,11486.0,0.0,Machinery repairs,amit.deshpande
JV00016,27-12-2024,27-12-2024,1332,Trade payables - other than micro and small,0.0,11486.0,Machinery repairs,amit.deshpande
JV00017,23-04-2024,23-04-2024,2282,Balances with banks in current accounts,1376066.0,0.0,Collection from customer,ravi.krishnan
JV00017,23-04-2024,23-04-2024,2251,Trade receivables - considered good,0.0,1376066.0,Collection from customer,ravi.krishnan
JV00018,07-08-2024,07-08-2024,2251,Trade receivables - considered good,41776.0,0.0,Sale invoice raised,priya.sharma
JV00018,07-08-2024,07-08-2024,3001,Sale of manufactured goods,0.0,41776.0,Sale invoice raised,priya.sharma
JV00019,23-05-2024,23-05-2024,1332,Trade payables - other than micro and small,65454.0,0.0,Payment to supplier,priya.sharma
JV00019,23-05-2024,23-05-2024,2282,Balances with banks in current accounts,0.0,65454.0,Payment to supplier,priya.sharma
JV00020,07-05-2024,07-05-2024,2282,Balances with banks in current accounts,319657.0,0.0,Collection from customer,ravi.krishnan
JV00020,07-05-2024,07-05-2024,2251,Trade receivables - considered good,0.0,319657.0,Collection from customer,ravi.krishnan
JV00021,20-08-2024,20-08-2024,2282,Balances with banks in current accounts,489592.0,0.0,Collection from customer,amit.deshpande
JV00021,20-08-2024,20-08-2024,2251,Trade receivables - considered good,0.0,489592.0,Collection from customer,amit.deshpande
JV00022,23-05-2024,23-05-2024,4001,Cost of materials consumed,505238.0,0.0,Purchase of raw material,ravi.krishnan
JV00022,23-05-2024,23-05-2024,1332,Trade payables - other than micro and small,0.0,505238.0,Purchase of raw material,ravi.krishnan
JV00023,05-11-2024,05-11-2024,4201,Salaries and wages,783732.0,0.0,Payroll for the month,priya.sharma
JV00023,05-11-2024,05-11-2024,1362,Employee benefits payable,0.0,783732.0,Payroll for the month,priya.sharma
JV00024,21-08-2024,21-08-2024,4401,Power and fuel,19482.0,0.0,Electricity charges,priya.sharma
JV00024,21-08-2024,21-08-2024,1332,Trade payables - other than micro and small,0.0,19482.0,Electricity charges,priya.sharma
JV00025,04-03-2025,04-03-2025,4201,Salaries and wages,982994.0,0.0,Payroll for the month,amit.deshpande
JV00025,04-03-2025,04-03-2025,1362,Employee benefits payable,0.0,982994.0,Payroll for the month,amit.deshpande
JV00026,28-10-2024,28-10-2024,4402,Repairs to machinery,24689.0,0.0,Machinery repairs,priya.sharma
JV00026,28-10-2024,28-10-2024,1332,Trade payables - other than micro and small,0.0,24689.0,Machinery repairs,priya.sharma
JV00027,27-06-2024,27-06-2024,4201,Salaries and wages,162323.0,0.0,Payroll for the month,ravi.krishnan
JV00027,27-06-2024,27-06-2024,1362,Employee benefits payable,0.0,162323.0,Payroll for the month,ravi.krishnan
JV00028,02-07-2024,02-07-2024,4402,Repairs to machinery,56018.0,0.0,Machinery repairs,priya.sharma
JV00028,02-07-2024,02-07-2024,1332,Trade payables - other than micro and small,0.0,56018.0,Machinery repairs,priya.sharma
JV00029,20-06-2024,20-06-2024,4001,Cost of materials consumed,2274099.0,0.0,Purchase of raw material,ravi.krishnan
JV00029,20-06-2024,20-06-2024,1332,Trade payables - other than micro and small,0.0,2274099.0,Purchase of raw material,ravi.krishnan
JV00030,07-08-2024,07-08-2024,4402,Repairs to machinery,11897.0,0.0,Machinery repairs,amit.deshpande
JV00030,07-08-2024,07-08-2024,1332,Trade payables - other than micro and small,0.0,11897.0,Machinery repairs,amit.deshpande
JV00031,30-08-2024,30-08-2024,1332,Trade payables - other than micro and small,740847.0,0.0,Payment to supplier,priya.sharma
JV00031,30-08-2024,30-08-2024,2282,Balances with banks in current accounts,0.0,740847.0,Payment to supplier,priya.sharma
JV00032,26-08-2024,26-08-2024,4201,Salaries and wages,1753325.0,0.0,Payroll for the month,ravi.krishnan
JV00032,26-08-2024,26-08-2024,1362,Employee benefits payable,0.0,1753325.0,Payroll for the month,ravi.krishnan
JV00033,23-05-2024,23-05-2024,4402,Repairs to machinery,25956.0,0.0,Machinery repairs,ravi.krishnan
JV00033,23-05-2024,23-05-2024,1332,Trade payables - other than micro and small,0.0,25956.0,Machinery repairs,ravi.krishnan
JV00034,14-01-2025,14-01-2025,4201,Salaries and wages,214491.0,0.0,Payroll for the month,ravi.krishnan
JV00034,14-01-2025,14-01-2025,1362,Employee benefits payable,0.0,214491.0,Payroll for the month,ravi.krishnan
JV00035,08-05-2024,08-05-2024,4409,Freight outward,177228.0,0.0,Outward freight,ravi.krishnan
JV00035,08-05-2024,08-05-2024,1332,Trade payables - other than micro and small,0.0,177228.0,Outward freight,ravi.krishnan
JV00036,05-12-2024,05-12-2024,4402,Repairs to machinery,191071.0,0.0,Machinery repairs,amit.deshpande
JV00036,05-12-2024,05-12-2024,1332,Trade payables - other than micro and small,0.0,191071.0,Machinery repairs,amit.deshpande
JV00037,11-03-2025,11-03-2025,4409,Freight outward,102929.0,0.0,Outward freight,amit.deshpande
JV00037,11-03-2025,11-03-2025,1332,Trade payables - other than micro and small,0.0,102929.0,Outward freight,amit.deshpande
JV00038,22-04-2024,22-04-2024,1332,Trade payables - other than micro and small,86026.0,0.0,Payment to supplier,amit.deshpande
JV00038,22-04-2024,22-04-2024,2282,Balances with banks in current accounts,0.0,86026.0,Payment to supplier,amit.deshpande
JV00039,21-02-2025,21-02-2025,4409,Freight outward,320834.0,0.0,Outward freight,ravi.krishnan
JV00039,21-02-2025,21-02-2025,1332,Trade payables - other than micro and small,0.0,320834.0,Outward freight,ravi.krishnan
JV00040,28-06-2024,28-06-2024,2251,Trade receivables - considered good,84959.0,0.0,Sale invoice raised,amit.deshpande
JV00040,28-06-2024,28-06-2024,3001,Sale of manufactured goods,0.0,84959.0,Sale invoice raised,amit.deshpande
JV00041,16-09-2024,16-09-2024,1332,Trade payables - other than micro and small,941474.0,0.0,Payment to supplier,ravi.krishnan
JV00041,16-09-2024,16-09-2024,2282,Balances with banks in current accounts,0.0,941474.0,Payment to supplier,ravi.krishnan
JV00042,04-04-2024,04-04-2024,2251,Trade receivables - considered good,182533.0,0.0,Sale invoice raised,priya.sharma
JV00042,04-04-2024,04-04-2024,3001,Sale of manufactured goods,0.0,182533.0,Sale invoice raised,priya.sharma
JV00043,19-09-2024,19-09-2024,4001,Cost of materials consumed,26659.0,0.0,Purchase of raw material,ravi.krishnan
JV00043,19-09-2024,19-09-2024,1332,Trade payables - other than micro and small,0.0,26659.0,Purchase of raw material,ravi.krishnan
JV00044,08-05-2024,08-05-2024,4001,Cost of materials consumed,571683.0,0.0,Purchase of raw material,priya.sharma
JV00044,08-05-2024,08-05-2024,1332,Trade payables - other than micro and small,0.0,571683.0,Purchase of raw material,priya.sharma
JV00045,03-09-2024,03-09-2024,4409,Freight outward,67363.0,0.0,Outward freight,amit.deshpande
JV00045,03-09-2024,03-09-2024,1332,Trade payables - other than micro and small,0.0,67363.0,Outward freight,amit.deshpande
