Account Code,Ledger Name,Debit,Credit
1001,Equity share capital,0,25000000
1101,Securities premium,0,12000000
1102,Surplus in Statement of Profit and Loss,0,43300000
1201,Term loan from State Bank of India,0,31000000
1251,Deferred tax liabilities (net),0,2840000
1291,Provision for gratuity (long-term),0,3420000
1301,Cash credit facility from HDFC Bank,0,19200000
1331,Trade payables - micro and small enterprises,0,6840000
1332,Trade payables - other than micro and small,0,34620000
1361,Statutory dues payable,0,4180000
1362,Employee benefits payable,0,2950000
1391,Provision for taxation,0,5200000
2001,Freehold land,14500000,0
2002,Factory building,28600000,0
2003,Plant and machinery,67400000,0
2004,Furniture and fixtures,3800000,0
2005,Computers and peripherals,4600000,0
2010,Accumulated depreciation,0,41860000
2051,Capital work-in-progress,6200000,0
2061,Computer software,2400000,0
2091,Investment in equity of associate,8500000,0
2121,Security deposits with utilities,3240000,0
2221,Raw materials,18460000,0
2222,Work-in-progress,6230000,0
2223,Finished goods,13890000,0
2224,Stores and spares,2870000,0
2251,Trade receivables - considered good,49280000,0
2252,Provision for doubtful debts,0,2460000
2281,Cash in hand,240000,0
2282,Balances with banks in current accounts,6820000,0
2301,Advances to suppliers,4730000,0
2331,Prepaid expenses,1840000,0
2332,GST input tax credit receivable,7460000,0
3001,Sale of manufactured goods,0,214600000
3002,Sale of scrap,0,3840000
3101,Interest income on deposits,0,680000
3102,Dividend from associate,0,850000
4001,Cost of materials consumed,128460000,0
4151,Changes in inventories of finished goods and WIP,0,4400000
4201,Salaries and wages,21840000,0
4202,Contribution to provident and other funds,2460000,0
4203,Staff welfare expenses,1420000,0
4301,Interest on term loan,3480000,0
4302,Interest on working capital facilities,2160000,0
4303,Bank charges,420000,0
4351,Depreciation on tangible assets,7140000,0
4352,Amortisation of intangible assets,480000,0
4401,Power and fuel,9640000,0
4402,Repairs to machinery,3820000,0
4403,Rent,2400000,0
4404,Legal and professional charges,2860000,0
4405,Payment to auditors,650000,0
4406,Travelling and conveyance,2130000,0
4407,Insurance,1240000,0
4408,CSR expenditure,1460000,0
4409,Freight outward,4680000,0
4410,Miscellaneous expenses,1890000,0
4901,Current tax,6200000,0
4951,Deferred tax,330000,0
9911,Capital advance for machinery under installation,2600000,0
9999,Suspense account - to be cleared,420000,0
