Voucher_No,Date,Account_Head,Party_Name,Debit_Amount,Credit_Amount,Narration,Cost_Center,Created_By
MFG/24-25/DUP-800914,2024-12-01 14:18:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,423292.03,0.0,Purchase bill passed against invoice ref INV-SURAT-8456 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/SPL-600563,2024-10-27 10:44:00,Direct Factory Wages,Om Sai Labour Contractors,48193.13,0.0,Job work voucher below limit clearance - Batch #237,Stitching Unit 2,accts_manish
MFG/24-25/525291,2025-02-19 17:11:00,Dyeing & Printing Charges,Star Export Logistics,14194.85,0.0,Bill passing for dyeing & printing charges against PO ref #4450,Export Division,finance_head
MFG/24-25/523056,2025-03-24 09:22:00,Direct Factory Wages,Tirupur Spinning Mills,35075.8,0.0,Bill passing for direct factory wages against PO ref #4736,Spinning Unit,finance_head
MFG/24-25/524724,2024-10-21 14:58:00,Packing & Trims Purchase,Global Freight Forwarders,1703.52,0.0,Bill passing for packing & trims purchase against PO ref #2952,Stitching Unit 1,works_mgr_patel
MFG/24-25/DUP-800870,2024-11-14 16:40:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,345732.01,0.0,Purchase bill passed against invoice ref INV-SURAT-8434 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/EST-701866,2024-12-09 15:59:00,Dyeing & Printing Charges,Zenith Dyeing & Processing,797630.0,0.0,Estimated invoice booking ref #EST-79763,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/DUP-800416,2024-08-26 14:04:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,130785.62,0.0,Purchase bill passed against invoice ref INV-SURAT-8207 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/513716,2025-01-19 13:49:00,Direct Factory Wages,Royal Industrial Spares,21477.88,0.0,Bill passing for direct factory wages against PO ref #5465,Dyeing & Wet Processing,accts_suresh
MFG/24-25/519267,2024-11-22 19:03:00,Sub-contracting Fabrication,Shree Ganesh Embroidery,6606.06,0.0,Bill passing for sub-contracting fabrication against PO ref #1868,Spinning Unit,accts_manish
MFG/24-25/505434,2025-01-30 13:45:00,Sample Development Expenses,Royal Industrial Spares,44408.55,0.0,Bill passing for sample development expenses against PO ref #4372,Stitching Unit 2,finance_head
MFG/24-25/SPL-603957,2024-05-31 15:52:00,Direct Factory Wages,Balaji Job Workers Ltd,49553.73,0.0,Job work voucher below limit clearance - Batch #503,Stitching Unit 2,accts_manish
MFG/24-25/507672,2024-05-22 17:06:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,14981.04,Bill passing for export sales (apparel) against PO ref #3186,Spinning Unit,sr_accountant_gupta
MFG/24-25/512938,2024-11-24 09:18:00,Sub-contracting Fabrication,Modern Trims & Labels,8186.08,0.0,Bill passing for sub-contracting fabrication against PO ref #9161,Dyeing & Wet Processing,works_mgr_patel
