entity,category,line_item,amount
Acme Global Ltd,Assets,Cash and Cash Equivalents,2819000
Acme Global Ltd,Assets,Accounts Receivable,2680000
Acme Global Ltd,Assets,Inventory,1610000
Acme Global Ltd,Assets,Prepaid Expenses,174000
Acme Global Ltd,Assets,"Property, Plant and Equipment",3650000
Acme Global Ltd,Assets,Intangible Assets,640000
Acme Global Ltd,Liabilities,Accounts Payable,1190000
Acme Global Ltd,Liabilities,Accrued Liabilities,612000
Acme Global Ltd,Liabilities,Deferred Revenue,845000
Acme Global Ltd,Liabilities,Short-term Debt,500000
Acme Global Ltd,Liabilities,Long-term Debt,1850000
Acme Global Ltd,Equity,Common Stock,1000000
Acme Global Ltd,Equity,Retained Earnings,5644000
Acme Global Ltd,Equity,Accumulated Other Comprehensive Income,-68000
Nimbus Tech Services GmbH,Assets,Cash and Cash Equivalents,1806000
Nimbus Tech Services GmbH,Assets,Accounts Receivable,2160000
Nimbus Tech Services GmbH,Assets,Inventory,588000
Nimbus Tech Services GmbH,Assets,Prepaid Expenses,141000
Nimbus Tech Services GmbH,Assets,"Property, Plant and Equipment",1940000
Nimbus Tech Services GmbH,Assets,Intangible Assets,220000
Nimbus Tech Services GmbH,Liabilities,Accounts Payable,812000
Nimbus Tech Services GmbH,Liabilities,Accrued Liabilities,190000
Nimbus Tech Services GmbH,Liabilities,Deferred Revenue,545000
Nimbus Tech Services GmbH,Liabilities,Short-term Debt,300000
Nimbus Tech Services GmbH,Liabilities,Long-term Debt,720000
Nimbus Tech Services GmbH,Equity,Common Stock,600000
Nimbus Tech Services GmbH,Equity,Retained Earnings,3710000
Nimbus Tech Services GmbH,Equity,Accumulated Other Comprehensive Income,-22000
Sundara Solutions Pvt Ltd,Assets,Cash and Cash Equivalents,635600
Sundara Solutions Pvt Ltd,Assets,Accounts Receivable,612000
Sundara Solutions Pvt Ltd,Assets,Inventory,224000
Sundara Solutions Pvt Ltd,Assets,Prepaid Expenses,41000
Sundara Solutions Pvt Ltd,Assets,"Property, Plant and Equipment",664000
Sundara Solutions Pvt Ltd,Assets,Intangible Assets,0
Sundara Solutions Pvt Ltd,Liabilities,Accounts Payable,335000
Sundara Solutions Pvt Ltd,Liabilities,Accrued Liabilities,98000
Sundara Solutions Pvt Ltd,Liabilities,Deferred Revenue,104000
Sundara Solutions Pvt Ltd,Liabilities,Short-term Debt,150000
Sundara Solutions Pvt Ltd,Liabilities,Long-term Debt,255000
Sundara Solutions Pvt Ltd,Equity,Common Stock,250000
Sundara Solutions Pvt Ltd,Equity,Retained Earnings,994100
Sundara Solutions Pvt Ltd,Equity,Accumulated Other Comprehensive Income,-9500
