entity,category,line_item,amount
Acme Global Ltd,Assets,Cash and Cash Equivalents,2462000
Acme Global Ltd,Assets,Accounts Receivable,2100000
Acme Global Ltd,Assets,Inventory,1450000
Acme Global Ltd,Assets,Prepaid Expenses,180000
Acme Global Ltd,Assets,"Property, Plant and Equipment",3200000
Acme Global Ltd,Assets,Intangible Assets,640000
Acme Global Ltd,Liabilities,Accounts Payable,1320000
Acme Global Ltd,Liabilities,Accrued Liabilities,410000
Acme Global Ltd,Liabilities,Deferred Revenue,860000
Acme Global Ltd,Liabilities,Short-term Debt,500000
Acme Global Ltd,Liabilities,Long-term Debt,2100000
Acme Global Ltd,Equity,Common Stock,1000000
Acme Global Ltd,Equity,Retained Earnings,3884000
Acme Global Ltd,Equity,Accumulated Other Comprehensive Income,-42000
Nimbus Tech Services GmbH,Assets,Cash and Cash Equivalents,685000
Nimbus Tech Services GmbH,Assets,Accounts Receivable,1580000
Nimbus Tech Services GmbH,Assets,Inventory,620000
Nimbus Tech Services GmbH,Assets,Prepaid Expenses,95000
Nimbus Tech Services GmbH,Assets,"Property, Plant and Equipment",1900000
Nimbus Tech Services GmbH,Assets,Intangible Assets,0
Nimbus Tech Services GmbH,Liabilities,Accounts Payable,740000
Nimbus Tech Services GmbH,Liabilities,Accrued Liabilities,210000
Nimbus Tech Services GmbH,Liabilities,Deferred Revenue,380000
Nimbus Tech Services GmbH,Liabilities,Short-term Debt,300000
Nimbus Tech Services GmbH,Liabilities,Long-term Debt,900000
Nimbus Tech Services GmbH,Equity,Common Stock,600000
Nimbus Tech Services GmbH,Equity,Retained Earnings,1732000
Nimbus Tech Services GmbH,Equity,Accumulated Other Comprehensive Income,18000
Sundara Solutions Pvt Ltd,Assets,Cash and Cash Equivalents,370000
Sundara Solutions Pvt Ltd,Assets,Accounts Receivable,480000
Sundara Solutions Pvt Ltd,Assets,Inventory,210000
Sundara Solutions Pvt Ltd,Assets,Prepaid Expenses,38000
Sundara Solutions Pvt Ltd,Assets,"Property, Plant and Equipment",620000
Sundara Solutions Pvt Ltd,Assets,Intangible Assets,45000
Sundara Solutions Pvt Ltd,Liabilities,Accounts Payable,290000
Sundara Solutions Pvt Ltd,Liabilities,Accrued Liabilities,62000
Sundara Solutions Pvt Ltd,Liabilities,Deferred Revenue,110000
Sundara Solutions Pvt Ltd,Liabilities,Short-term Debt,150000
Sundara Solutions Pvt Ltd,Liabilities,Long-term Debt,300000
Sundara Solutions Pvt Ltd,Equity,Common Stock,250000
Sundara Solutions Pvt Ltd,Equity,Retained Earnings,605000
Sundara Solutions Pvt Ltd,Equity,Accumulated Other Comprehensive Income,-4000
