entity,category,line_item,amount
Acme Global Ltd,Revenue,Product Revenue,4650000
Acme Global Ltd,Revenue,Service Revenue,1505000
Acme Global Ltd,Revenue,Subscription Revenue,385000
Acme Global Ltd,Cost of Sales,Cost of Goods Sold,-2140000
Acme Global Ltd,Cost of Sales,Freight and Logistics,-246000
Acme Global Ltd,Operating Expenses,Salaries and Wages,-1340000
Acme Global Ltd,Operating Expenses,Rent and Occupancy,-238000
Acme Global Ltd,Operating Expenses,IT and Software,-101000
Acme Global Ltd,Operating Expenses,Professional Fees,-212000
Acme Global Ltd,Operating Expenses,Marketing and Advertising,-101000
Acme Global Ltd,Operating Expenses,Travel and Entertainment,-101000
Acme Global Ltd,Operating Expenses,Depreciation and Amortization,-224000
Acme Global Ltd,Other Income/Expense,Interest Income,41000
Acme Global Ltd,Other Income/Expense,Interest Expense,-54000
Acme Global Ltd,Other Income/Expense,FX Gain/Loss,-64000
Nimbus Tech Services GmbH,Revenue,Product Revenue,1690000
Nimbus Tech Services GmbH,Revenue,Service Revenue,2860000
Nimbus Tech Services GmbH,Revenue,Subscription Revenue,452000
Nimbus Tech Services GmbH,Cost of Sales,Cost of Goods Sold,-742000
Nimbus Tech Services GmbH,Cost of Sales,Freight and Logistics,-95000
Nimbus Tech Services GmbH,Operating Expenses,Salaries and Wages,-1615000
Nimbus Tech Services GmbH,Operating Expenses,Rent and Occupancy,-141000
Nimbus Tech Services GmbH,Operating Expenses,IT and Software,-101000
Nimbus Tech Services GmbH,Operating Expenses,Professional Fees,-58000
Nimbus Tech Services GmbH,Operating Expenses,Marketing and Advertising,-104000
Nimbus Tech Services GmbH,Operating Expenses,Travel and Entertainment,-88000
Nimbus Tech Services GmbH,Operating Expenses,Depreciation and Amortization,-60000
Nimbus Tech Services GmbH,Other Income/Expense,Interest Income,11000
Nimbus Tech Services GmbH,Other Income/Expense,Interest Expense,0
Nimbus Tech Services GmbH,Other Income/Expense,FX Gain/Loss,-31000
Sundara Solutions Pvt Ltd,Revenue,Product Revenue,905000
Sundara Solutions Pvt Ltd,Revenue,Service Revenue,612000
Sundara Solutions Pvt Ltd,Revenue,Subscription Revenue,131000
Sundara Solutions Pvt Ltd,Cost of Sales,Cost of Goods Sold,-455000
Sundara Solutions Pvt Ltd,Cost of Sales,Freight and Logistics,-41000
Sundara Solutions Pvt Ltd,Operating Expenses,Salaries and Wages,-512000
Sundara Solutions Pvt Ltd,Operating Expenses,Rent and Occupancy,-61000
Sundara Solutions Pvt Ltd,Operating Expenses,IT and Software,-79000
Sundara Solutions Pvt Ltd,Operating Expenses,Professional Fees,-19000
Sundara Solutions Pvt Ltd,Operating Expenses,Marketing and Advertising,-11000
Sundara Solutions Pvt Ltd,Operating Expenses,Travel and Entertainment,-19000
Sundara Solutions Pvt Ltd,Operating Expenses,Depreciation and Amortization,-46000
Sundara Solutions Pvt Ltd,Other Income/Expense,Interest Income,4500
Sundara Solutions Pvt Ltd,Other Income/Expense,Interest Expense,-14200
Sundara Solutions Pvt Ltd,Other Income/Expense,FX Gain/Loss,-6200
