entity,category,line_item,amount
Acme Global Ltd,Revenue,Product Revenue,4200000
Acme Global Ltd,Revenue,Service Revenue,1450000
Acme Global Ltd,Revenue,Subscription Revenue,0
Acme Global Ltd,Cost of Sales,Cost of Goods Sold,-1850000
Acme Global Ltd,Cost of Sales,Freight and Logistics,-210000
Acme Global Ltd,Operating Expenses,Salaries and Wages,-1200000
Acme Global Ltd,Operating Expenses,Rent and Occupancy,-165000
Acme Global Ltd,Operating Expenses,IT and Software,-98000
Acme Global Ltd,Operating Expenses,Professional Fees,-140000
Acme Global Ltd,Operating Expenses,Marketing and Advertising,-180000
Acme Global Ltd,Operating Expenses,Travel and Entertainment,-95000
Acme Global Ltd,Operating Expenses,Depreciation and Amortization,-220000
Acme Global Ltd,Other Income/Expense,Interest Income,32000
Acme Global Ltd,Other Income/Expense,Interest Expense,-54000
Acme Global Ltd,Other Income/Expense,FX Gain/Loss,-18000
Nimbus Tech Services GmbH,Revenue,Product Revenue,1650000
Nimbus Tech Services GmbH,Revenue,Service Revenue,2200000
Nimbus Tech Services GmbH,Revenue,Subscription Revenue,410000
Nimbus Tech Services GmbH,Cost of Sales,Cost of Goods Sold,-720000
Nimbus Tech Services GmbH,Cost of Sales,Freight and Logistics,-61000
Nimbus Tech Services GmbH,Operating Expenses,Salaries and Wages,-1580000
Nimbus Tech Services GmbH,Operating Expenses,Rent and Occupancy,-140000
Nimbus Tech Services GmbH,Operating Expenses,IT and Software,-98000
Nimbus Tech Services GmbH,Operating Expenses,Professional Fees,-62000
Nimbus Tech Services GmbH,Operating Expenses,Marketing and Advertising,-71000
Nimbus Tech Services GmbH,Operating Expenses,Travel and Entertainment,-52000
Nimbus Tech Services GmbH,Operating Expenses,Depreciation and Amortization,-84000
Nimbus Tech Services GmbH,Other Income/Expense,Interest Income,9000
Nimbus Tech Services GmbH,Other Income/Expense,Interest Expense,-21000
Nimbus Tech Services GmbH,Other Income/Expense,FX Gain/Loss,4000
Sundara Solutions Pvt Ltd,Revenue,Product Revenue,860000
Sundara Solutions Pvt Ltd,Revenue,Service Revenue,540000
Sundara Solutions Pvt Ltd,Revenue,Subscription Revenue,118000
Sundara Solutions Pvt Ltd,Cost of Sales,Cost of Goods Sold,-410000
Sundara Solutions Pvt Ltd,Cost of Sales,Freight and Logistics,-38000
Sundara Solutions Pvt Ltd,Operating Expenses,Salaries and Wages,-480000
Sundara Solutions Pvt Ltd,Operating Expenses,Rent and Occupancy,-60000
Sundara Solutions Pvt Ltd,Operating Expenses,IT and Software,-42000
Sundara Solutions Pvt Ltd,Operating Expenses,Professional Fees,-28000
Sundara Solutions Pvt Ltd,Operating Expenses,Marketing and Advertising,-18000
Sundara Solutions Pvt Ltd,Operating Expenses,Travel and Entertainment,-21000
Sundara Solutions Pvt Ltd,Operating Expenses,Depreciation and Amortization,0
Sundara Solutions Pvt Ltd,Other Income/Expense,Interest Income,4500
Sundara Solutions Pvt Ltd,Other Income/Expense,Interest Expense,-9800
Sundara Solutions Pvt Ltd,Other Income/Expense,FX Gain/Loss,-1500
