Year,Month,Period,Region,Country,OpCo Code,OpCo Name,BU,SC Function,Account,Account Description,Channel,AccDetail,Scenario,Currency,Amount
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PURCH_PAIRS,Purchase Pairs,SC,F_CLO,Actual,USD,381759
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_119001I,Turnover Supply Chain,SC,F_CLO,Actual,USD,4254053.76
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_119002I,Turnover Supply Chain - Markup,SC,F_CLO,Actual,USD,255681.55
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_219000T,COGS Supply Chain,SC,F_CLO,Actual,USD,-4254053.76
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_225000I,Freight Costs,SC,F_CLO,Actual,USD,-59569.77
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_224000I,PPV,SC,F_CLO,Actual,USD,-30261.6
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_CH0001I,Personnel (channel),SC,F_CLO,Actual,USD,-68910.45
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_CH0002I,Selling & Handling (channel),SC,F_CLO,Actual,USD,-68910.45
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_CH0003I,General & Administration (channel),SC,F_CLO,Actual,USD,-34455.23
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_119000T,Net Turnover Supply Chain,SC,F_CLO,Actual,USD,4509735.31
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_200000T,Cost of Sales,SC,F_CLO,Actual,USD,-4343885.13
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_920000T,Total Gross Profit,SC,F_CLO,Actual,USD,165850.18
2026,8,202608,Asia-Pacific,Bangladesh,BD01,Bangladesh OpCo,XYZ Ltd,Imports,PL_CH0000T,Channel Expenses,SC,F_CLO,Actual,USD,-172276.14
