GSTIN of supplier,Trade/ Legal name of supplier,Invoice details,,,,Place of supply,Supply attract   reverse charge,Rate (%),Taxable value (â‚,Tax amount,,,,"Counterparty GSTR-1/5 filing date 
(DD/MM/YYYY)",ITC available,Reason for non accounting of ITC
,,Invoice number,Invoice type,Invoice date,Invoice value (â‚,,,,,Integrated tax  (â‚,Central tax (â‚,State/UT tax (â‚,Cess  (â‚,,,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901003499,R,26/04/2019,"1,427.80",Gujarat,N,18,"1,210.00",0.00,108.90,108.90,0.00,08/05/2019,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901000932,R,08/04/2019,"1,864.40",Gujarat,N,18,"1,580.00",0.00,142.20,142.20,0.00,08/05/2019,Yes,
24AABFU1297N1ZT,UNIQUE CONSTRUCTION,GJ/19-20/19,R,26/04/2019,"298,552.00",Gujarat,N,18,"250,884.00",0.00,"22,579.56","22,579.56",0.00,20/05/2019,Yes,
24AABFU1297N1ZT,UNIQUE CONSTRUCTION,GJ/19-20/17,R,25/04/2019,"273,427.00",Gujarat,N,18,"229,770.00",0.00,"20,679.30","20,679.30",0.00,20/05/2019,Yes,
24AABFU1297N1ZT,UNIQUE CONSTRUCTION,GJ/19-20/23,R,29/04/2019,"142,872.00",Gujarat,N,18,"120,060.00",0.00,"10,805.40","10,805.40",0.00,20/05/2019,Yes,
24AABFU1297N1ZT,UNIQUE CONSTRUCTION,GJ/19-20/21,R,26/04/2019,"271,878.00",Gujarat,N,18,"228,275.00",0.00,"20,544.75","20,544.75",0.00,20/05/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/02/19-20,R,03/04/2019,"270,562.00",Gujarat,N,18,"229,290.00",0.00,"20,636.10","20,636.10",0.00,05/07/2019,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/11/19-20,R,18/04/2019,"224,807.00",Gujarat,N,18,"190,515.00",0.00,"17,146.35","17,146.35",0.00,05/07/2019,Yes,
24AAGCR7994F1ZY,RAMERA BUILDCON PVT LTD,4,R,21/04/2019,"172,431.00",Gujarat,N,18,"144,900.00",0.00,"13,041.00","13,041.00",0.00,31/07/2019,Yes,
