Date,Particulars,Voucher Type,Supplier Invoice No.,Supplier Invoice Date,GSTIN/UIN,GST Purchase,SGST,CGST,Invoice value (â‚,
12-Jun-19,Avdhoot Project Pvt.Ltd,Purchase,10,12-Jun-19,24AAPCA4577Q1ZU,"110,170.00","9,915.30","9,915.30","130,000.00",
24-Feb-20,Chetan Engineers (GUJARAT),Purchase,005,24-Feb-20,24AABFC2262P1ZG,"160,230.00","14,420.70","14,420.70","190,670.00",
22-Feb-20,Hasmi Traders,Purchase,342,22-Feb-20,24AECPH6789R1ZP,"46,310.00","4,167.90","4,167.90","54,646.00",
24-Feb-20,Hasmi Traders,Purchase,345,24-Feb-20,24AECPH6789R1ZP,"40,040.00","3,603.60","3,603.60","47,248.00",
24-Feb-20,Hasmi Traders,Purchase,344,24-Feb-20,24AECPH6789R1ZP,"42,240.00","3,801.60","3,801.60","49,844.00",
25-Feb-20,Hasmi Traders,Purchase,346,25-Feb-20,24AECPH6789R1ZP,"90,862.00","8,177.58","8,177.58","107,216.00",
08-Apr-19,INOX Air Products Pvt.Ltd,Purchase,GJ1901003499,08-Apr-19,24AAACI5569D1ZQ,"1,210.00",108.90,108.90,"1,427.80",
26-Apr-19,INOX Air Products Pvt.Ltd,Purchase,GJ1901000932,26-Apr-19,24AAACI5569D1ZQ,"1,580.00",142.20,142.20,"1,864.40",
03-May-19,INOX Air Products Pvt.Ltd,Purchase,GJ1901004482,03-May-19,24AAACI5569D1ZQ,"1,261.00",113.49,113.49,"1,487.98",
10-May-19,INOX Air Products Pvt.Ltd,Purchase,GJ1901005475,10-May-19,24AAACI5569D1ZQ,"1,395.00",125.55,125.55,"1,646.10",
01-Jun-19,INOX Air Products Pvt.Ltd,Purchase,GJ1901009024,01-Jun-19,24AAACI5569D1ZQ,"91,488.00","8,233.92","8,233.92","107,955.84",
05-Jun-19,INOX Air Products Pvt.Ltd,Purchase,GJ1901008460,05-Jun-19,24AAACI5569D1ZQ,"1,244.00",111.96,111.96,"1,467.92",
