Billing Document,Billing Date,Document Type,Company Code,Sales Organization,Distribution Channel,Division,Sold-to Party Name,Payer,Country Key,Material Description,Net Value,Currency,Reference Sales Order,Fiscal Year Period,Created By,Created On
1800000003,2024-05-29,F2,NL01,NL01,10,00,Timmermans Bouw B.V.,Timmermans Bouw B.V.,Netherlands,Electric Motor EM-750,7349.55,EUR,SO-4932009,2024/05,BATCHJOB,2024-05-29
1800000005,2024-06-13,F2,NL01,NL01,20,00,Bos Facility Services B.V.,Bos Facility Services B.V.,Netherlands,Cloud Hosting Subscription (Annual),15000.0,EUR,SO-1148483,2024/06,S.BAKKER,2024-06-13
1800000006,2024-10-25,F2,NL01,NL01,30,00,Kuipers Machinefabriek B.V.,Kuipers Machinefabriek B.V.,Netherlands,Cloud Hosting Subscription (Annual),28379.38,EUR,SO-5973174,2024/10,A.KOK,2024-10-25
1800000008,2024-10-09,F2,NL01,NL01,10,00,Global Tech Solutions Inc,Global Tech Solutions Inc,United States,Standard Spare Parts Bundle,10500.0,EUR,SO-5391677,2024/10,R.JANSSEN,2024-10-09
1800000009,2024-11-08,F2,NL01,NL01,20,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Data Migration Services,4500.0,EUR,SO-3745804,2024/11,A.KOK,2024-11-08
1800000011,2024-09-02,F2,NL01,NL01,10,00,De Boer Industrial N.V.,De Boer Industrial N.V.,Netherlands,Custom Integration Services,5720.34,EUR,SO-6797899,2024/09,S.BAKKER,2024-09-02
1800000013,2024-06-04,F2,NL01,NL01,10,00,Timmermans Bouw B.V.,Timmermans Bouw B.V.,Netherlands,Industrial Network Switch NS-24,8000.0,EUR,SO-4977178,2024/06,S.BAKKER,2024-06-04
1800000014,2025-03-13,F2,NL01,NL01,30,00,Van Dijk Transport B.V.,Van Dijk Transport B.V.,Netherlands,Warehouse Management Module,22178.71,EUR,SO-4592302,2025/03,M.DEVRIES,2025-03-13
1800000016,2024-10-18,F2,NL01,NL01,30,00,Dekker IT Solutions B.V.,Dekker IT Solutions B.V.,Netherlands,Support Retainer Services,46217.83,EUR,SO-1671665,2024/10,R.JANSSEN,2024-10-18
1800000018,2024-04-03,F2,NL01,NL01,20,00,Van Dijk Transport B.V.,Van Dijk Transport B.V.,Netherlands,Industrial Sensor Module X200,22619.47,EUR,SO-8327111,2024/04,M.DEVRIES,2024-04-03
1800000019,2024-10-21,F2,NL01,NL01,20,00,De Groot Handelsonderneming B.V.,De Groot Handelsonderneming B.V.,Netherlands,Annual Maintenance Contract,7394.18,EUR,SO-9269499,2024/10,A.KOK,2024-10-21
1800000020,2024-07-15,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Cloud Hosting Subscription (Annual),14984.26,EUR,SO-5666372,2024/07,R.JANSSEN,2024-07-15
1800000021,2024-07-30,F2,NL01,NL01,10,00,De Boer Industrial N.V.,De Boer Industrial N.V.,Netherlands,Implementation Consulting Services,12603.81,EUR,SO-7707799,2024/07,R.JANSSEN,2024-07-30
1800000023,2024-06-18,F2,NL01,NL01,20,00,Rotterdam Haven Diensten B.V.,Rotterdam Haven Diensten B.V.,Netherlands,Standard Spare Parts Bundle,4556.06,EUR,SO-6262087,2024/06,BATCHJOB,2024-06-18
1800000024,2024-06-11,F2,NL01,NL01,20,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Standard Spare Parts Bundle,9602.08,EUR,SO-4481530,2024/06,S.BAKKER,2024-06-11
