Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
SONACOMS,EQ,10-Aug-26,818.05,822.1,836.9,807.6,812.5,812.5,820.74,"24,07,579","1,97,59,98,935.90","62,613","7,37,517",30.63
SONACOMS,EQ,7-Aug-26,792,790,821,787,818.05,818.05,807.5,"37,53,214","3,03,07,14,698.20","56,351","15,56,422",41.47
SONACOMS,EQ,6-Aug-26,814.6,821.9,824.6,786.25,792,792,802,"26,71,715","2,14,27,10,613.75","75,925","11,95,183",44.73
SONACOMS,EQ,5-Aug-26,787,790,822.9,785.05,814.6,814.6,811.01,"36,22,373","2,93,77,72,053.25","65,090","14,60,993",40.33
SONACOMS,EQ,4-Aug-26,785,785,794.45,774.5,787,787,785.41,"20,41,296","1,60,32,52,240.30","49,112","9,61,200",47.09
SONACOMS,EQ,3-Aug-26,769.4,775,785,768.05,785,785,780.49,"25,17,947","1,96,52,33,464.35","44,810","13,89,368",55.18
SONACOMS,EQ,31-Jul-26,763.75,769.95,773.2,761.95,768.7,769.4,768.65,"28,80,222","2,21,38,88,375.35","47,906","14,59,166",50.66
SONACOMS,EQ,30-Jul-26,720.5,715.05,768,715.05,767,763.75,748.88,"77,77,881","5,82,46,90,355.75","1,17,426","19,85,992",25.53
SONACOMS,EQ,29-Jul-26,713,718,724.75,711.1,722.05,720.5,719.33,"18,17,710","1,30,75,34,522.85","32,364","11,11,584",61.15
SONACOMS,EQ,28-Jul-26,720.9,722,723.75,707,712.3,713,712.19,"18,89,106","1,34,54,10,394.25","33,801","8,95,418",47.4
SONACOMS,EQ,27-Jul-26,717.95,728.8,728.8,714.5,718.55,720.9,721.09,"28,03,460","2,02,15,49,916.40","41,695","13,62,024",48.58
SONACOMS,EQ,24-Jul-26,719.75,710.95,741.65,705,718.5,717.95,725.24,"87,33,705","6,33,40,21,896.50","1,42,908","20,19,080",23.12
SONACOMS,EQ,23-Jul-26,726.5,725,731.1,704.15,716,719.75,722.64,"45,80,235","3,30,98,75,595.65","66,920","21,25,788",46.41
SONACOMS,EQ,22-Jul-26,732.75,732.75,739.4,719.35,724.3,726.5,726.59,"20,80,575","1,51,17,25,307.35","49,335","9,85,577",47.37
SONACOMS,EQ,21-Jul-26,714.55,723,734.2,715.05,733.35,732.75,725.62,"32,82,955","2,38,21,70,715.80","60,508","13,38,843",40.78
SONACOMS,EQ,20-Jul-26,704.85,705,718.65,701.15,717,714.55,710.33,"29,29,307","2,08,07,72,931.80","64,186","12,81,661",43.75
SONACOMS,EQ,17-Jul-26,683.4,684.6,708.45,680.35,705,704.85,698.23,"48,62,624","3,39,52,30,820.10","1,00,467","16,96,548",34.89
SONACOMS,EQ,16-Jul-26,669.2,669.25,690.85,665.85,684.6,683.4,681.06,"27,69,737","1,88,63,45,342.05","1,06,701","13,19,215",47.63
SONACOMS,EQ,15-Jul-26,666.8,675.05,676,663.3,667.05,669.2,672.09,"22,57,584","1,51,72,99,504.55","39,602","7,54,094",33.4
SONACOMS,EQ,14-Jul-26,670.85,674,674,660.1,667.35,666.8,665.33,"8,73,477","58,11,46,348.95","21,936","3,31,611",37.96
SONACOMS,EQ,13-Jul-26,668.55,667.85,673.6,658.7,671.5,670.85,668.8,"15,26,140","1,02,06,88,609.75","36,319","8,77,948",57.53
SONACOMS,EQ,10-Jul-26,670.75,676.35,682.2,661.45,669.4,668.55,671.41,"12,38,095","83,12,69,464.10","26,902","6,10,434",49.3
SONACOMS,EQ,9-Jul-26,662.05,664.3,675.4,659.8,671,670.75,667.64,"13,58,978","90,73,08,922.85","54,077","5,85,985",43.12
SONACOMS,EQ,8-Jul-26,671.2,668,680.8,657.9,665.65,662.05,670.29,"32,30,617","2,16,54,58,620.15","71,711","17,46,516",54.06
SONACOMS,EQ,7-Jul-26,667.5,665.55,674,660,668.95,671.2,668.3,"20,96,483","1,40,10,80,442.55","43,187","10,82,940",51.66
SONACOMS,EQ,6-Jul-26,660.1,660.05,671,657.6,668,667.5,663.47,"22,43,065","1,48,82,04,401.95","39,249","14,51,914",64.73
SONACOMS,EQ,3-Jul-26,662.3,665.25,667.5,658,660.5,660.1,661.48,"12,37,326","81,84,68,838.15","24,782","4,97,628",40.22
SONACOMS,EQ,2-Jul-26,619.4,623,672.6,616.85,664.9,662.3,655.2,"78,02,225","5,11,19,92,599.45","1,34,648","24,36,419",31.23
SONACOMS,EQ,1-Jul-26,619.9,623,628,615.4,617.95,619.4,620.27,"9,67,427","60,00,65,004.85","25,165","4,39,570",45.44
SONACOMS,EQ,30-Jun-26,620.75,618.55,623.7,608.3,621,619.9,617.45,"19,87,929","1,22,74,44,942.75","47,073","10,13,951",51.01
SONACOMS,EQ,29-Jun-26,619.25,619.25,629.95,609.4,619.1,620.75,618.2,"39,41,395","2,43,65,73,072.40","50,965","23,61,482",59.91
SONACOMS,EQ,25-Jun-26,621.1,624,632.2,617.25,619.4,619.25,627,"32,76,539","2,05,43,76,817.40","48,180","17,94,627",54.77
SONACOMS,EQ,24-Jun-26,615.95,613,622.85,612.05,618.9,621.1,617.07,"13,35,527","82,41,16,002.05","21,905","7,81,256",58.5
SONACOMS,EQ,23-Jun-26,621,622,623.9,612.25,613.8,615.95,617.98,"6,26,501","38,71,63,325.10","15,312","2,61,625",41.76
SONACOMS,EQ,22-Jun-26,613.8,620,626.35,614.3,621.2,621,620.53,"32,72,804","2,03,08,67,675.90","45,683","15,66,496",47.86
SONACOMS,EQ,19-Jun-26,605.05,604.8,618.75,598.3,614.7,613.8,612.72,"19,77,764","1,21,18,07,734.80","44,347","9,16,820",46.36
SONACOMS,EQ,18-Jun-26,601.25,607.25,607.25,599.8,605.4,605.05,602.64,"10,24,033","61,71,20,120.65","17,267","5,20,040",50.78
SONACOMS,EQ,17-Jun-26,598.65,604.9,609.45,596.2,603.1,601.25,602.07,"14,20,889","85,54,67,944.55","25,083","7,22,614",50.86
SONACOMS,EQ,16-Jun-26,596.35,599.25,609.55,591.6,596.05,598.65,599.74,"18,55,149","1,11,26,08,658.75","40,715","8,24,658",44.45
SONACOMS,EQ,15-Jun-26,593.05,602.6,602.6,594.25,595,596.35,598.93,"11,87,869","71,14,53,124.50","26,086","6,15,802",51.84
SONACOMS,EQ,12-Jun-26,585.1,593.95,597.6,584.5,591.85,593.05,591,"7,57,210","44,75,14,741.60","18,908","3,44,223",45.46
SONACOMS,EQ,11-Jun-26,589.25,584.65,595.55,582.1,586.7,585.1,590.05,"20,93,237","1,23,51,17,758.75","24,729","12,78,120",61.06
SONACOMS,EQ,10-Jun-26,601.85,598.55,600.15,586.55,588.3,589.25,592.87,"13,48,178","79,92,90,829.80","78,005","7,39,995",54.89
SONACOMS,EQ,9-Jun-26,588.25,593.4,607.35,588.5,599.5,601.85,598.44,"18,20,577","1,08,95,10,195.30","26,151","10,30,897",56.62
SONACOMS,EQ,8-Jun-26,602.3,593.3,596.45,585.4,587,588.25,592.3,"8,03,733","47,60,51,939.80","17,054","3,46,502",43.11
SONACOMS,EQ,5-Jun-26,601.15,605.05,609.4,599,604,602.3,603.52,"15,25,449","92,06,41,287.90","31,772","7,60,179",49.83
SONACOMS,EQ,4-Jun-26,603.45,597.45,612.35,597.45,602,601.15,604.05,"16,84,599","1,01,75,79,779.30","27,857","9,85,758",58.52
SONACOMS,EQ,3-Jun-26,611.35,615,615.15,599.55,603.75,603.45,607.42,"10,08,198","61,23,96,378.65","22,448","4,17,076",41.37
SONACOMS,EQ,2-Jun-26,600.2,594,614.25,590.8,611.65,611.35,602.89,"16,11,420","97,15,15,415.60","30,532","7,92,951",49.21
SONACOMS,EQ,1-Jun-26,607.45,608.8,611.55,595,596,600.2,602.51,"15,73,058","94,77,90,517.70","32,306","8,17,136",51.95
SONACOMS,EQ,29-May-26,618.7,620,620,605,606.6,607.45,611.11,"19,14,358","1,16,98,90,984.10","28,703","10,61,212",55.43
SONACOMS,EQ,27-May-26,608,612,621.8,601.25,618,618.7,612.38,"19,07,699","1,16,82,29,866.75","41,470","7,39,483",38.76
SONACOMS,EQ,26-May-26,594.65,590.6,609.6,590.1,609,608,602.99,"19,04,541","1,14,84,14,706.95","40,946","9,36,805",49.19
SONACOMS,EQ,25-May-26,593.75,599,603.55,592.7,594.55,594.65,597.66,"7,11,240","42,50,82,902.85","14,269","2,85,918",40.2
SONACOMS,EQ,22-May-26,584.3,584.3,599.95,584.3,594.4,593.75,595.58,"24,84,984","1,48,00,11,737.35","87,898","13,25,577",53.34
SONACOMS,EQ,21-May-26,588.6,589.25,596.05,581,582.2,584.3,586.96,"7,63,533","44,81,65,357.55","24,827","3,30,370",43.27
SONACOMS,EQ,20-May-26,579.75,572.65,590.35,570.05,589.2,588.6,585.46,"13,66,708","80,01,54,073.90","31,624","7,41,878",54.28
SONACOMS,EQ,19-May-26,567.55,571.95,583.7,566.5,578.9,579.75,578.37,"10,97,146","63,45,52,752.60","38,213","5,83,569",53.19
SONACOMS,EQ,18-May-26,573.55,571,574.05,555.55,569.1,567.55,566.03,"13,11,612","74,24,08,400.70","33,961","5,78,265",44.09
