"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Sona BLW Precision Forgings Limited","28.01","71.99","0","Revised","30-JUN-2026","20-JUL-2026","29-JUL-2026","https://nsearchives.nseindia.com/corporate/xbrl/SHP_1704131_29072026052053_WEB.xml","07-AUG-2026 17:21:15","07-AUG-2026 17:21:19","00:00:04"
"Sona BLW Precision Forgings Limited","28.02","71.98","0","Revised","31-MAR-2026","18-APR-2026","27-APR-2026","https://nsearchives.nseindia.com/corporate/xbrl/SHP_1659262_27042026025658_WEB.xml","27-APR-2026 15:04:20","18-APR-2026 11:42:14","-219:-22:-06"
"Sona BLW Precision Forgings Limited","28.02","71.98","0","Revised","31-DEC-2025","16-JAN-2026","20-JAN-2026","https://nsearchives.nseindia.com/corporate/xbrl/SHP_1605147_20012026122515_WEB.xml","21-JAN-2026 16:53:33","21-JAN-2026 16:53:37","00:00:04"
"Sona BLW Precision Forgings Limited","28.02","71.98","0","-","30-SEP-2025","15-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1548447_15102025120259_WEB.xml","15-OCT-2025 12:03:04","15-OCT-2025 12:03:08","00:00:04"
"Sona BLW Precision Forgings Limited","28.02","71.98","0","-","30-JUN-2025","18-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1486429_18072025025910_WEB.xml","18-JUL-2025 14:59:15","18-JUL-2025 14:59:19","00:00:04"
"Sona BLW Precision Forgings Limited","28.02","71.98","0","Revised","31-MAR-2025","10-APR-2025","05-SEP-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_1523564_05092025041438_WEB.xml","22-SEP-2025 17:11:20","22-SEP-2025 17:11:24","00:00:04"
"Sona BLW Precision Forgings Limited","28.03","71.97","0","-","31-DEC-2024","14-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194551_1344557_14012025112611_WEB.xml","14-JAN-2025 11:26:12","14-JAN-2025 11:26:17","00:00:05"
"Sona BLW Precision Forgings Limited","28.04","71.96","0","-","30-SEP-2024","15-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192077_1270394_15102024042400_WEB.xml","15-OCT-2024 16:24:02","15-OCT-2024 16:24:05","00:00:03"
"Sona BLW Precision Forgings Limited","28.04","71.96","0","-","09-SEP-2024","12-SEP-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190977_1242172_12092024121303_WEB.xml","12-SEP-2024 12:13:04","12-SEP-2024 12:13:08","00:00:04"
"Sona BLW Precision Forgings Limited","29.71","70.29","0","-","30-JUN-2024","05-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188653_1171028_05072024040025_WEB.xml","05-JUL-2024 16:00:26","05-JUL-2024 16:00:31","00:00:05"
