hs_code,description,bcd_rate,aidc_rate,health_cess_rate,fta_code,notification_no
01022110,All goods,4.8,0.0,0.0,India-UK CETA,29/2026-Customs
01022120,All goods,4.8,0.0,0.0,India-UK CETA,29/2026-Customs
01022910,All goods,4.8,0.0,0.0,India-UK CETA,29/2026-Customs
01022990,All goods,28.5,0.0,0.0,India-UK CETA,29/2026-Customs
01023100,All goods,28.5,0.0,0.0,India-UK CETA,29/2026-Customs
01023900,All goods,28.5,0.0,0.0,India-UK CETA,29/2026-Customs
01029010,All goods,28.5,0.0,0.0,India-UK CETA,29/2026-Customs
01029090,All goods,28.5,0.0,0.0,India-UK CETA,29/2026-Customs
01031000,All goods,4.8,0.0,0.0,India-UK CETA,29/2026-Customs
01039100,All goods,4.8,0.0,0.0,India-UK CETA,29/2026-Customs
01039200,All goods,4.8,0.0,0.0,India-UK CETA,29/2026-Customs
01041010,All goods,4.8,0.0,0.0,India-UK CETA,29/2026-Customs
01041090,All goods,4.8,0.0,0.0,India-UK CETA,29/2026-Customs
01042000,All goods,4.8,0.0,0.0,India-UK CETA,29/2026-Customs
02041000,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
02042100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
02042200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
02042300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
02043000,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
02044100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
02044200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
02044300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03011100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03011900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03019100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03019200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03019300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03019400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03019500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03019900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03021100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03021300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03021400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03021900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03022100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03022200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03022300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03022400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03022900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03023100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03023200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03023300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03023400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03023500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03023600,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03023900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03024100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03024200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03024300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03024400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03024500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03024600,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03024700,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03024900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03025100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03025200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03025300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03025400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03025500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03025600,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03025900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03027100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03027200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03027300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03027400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03027900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03028100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03028200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03028300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03028400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03028500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03028910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03028920,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03028930,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03028990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03029100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03029200,All goods,27.0,0.0,0.0,India-UK CETA,29/2026-Customs
03029910,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03029990,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03031100,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03031200,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03031300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03031400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03031900,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03032300,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03032400,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
03032500,All goods,0.0,0.0,0.0,India-UK CETA,29/2026-Customs
