Voucher_No,Date,Vendor_Name,Amount,Account_Head,Approver,Raised_By
V1000,2024-05-28,Vendor_1,49299.38,Salaries,Amit Verma,Priya Singh
V1001,2024-07-24,Vendor_5,26126.05,Salaries,Rahul Sharma,Priya Singh
V1002,2025-01-28,Vendor_14,57333.55,Office Supplies,Rahul Sharma,Priya Singh
V1003,2024-07-29,Vendor_17,137582.98,Utilities,Rahul Sharma,Amit Verma
V1004,2025-02-27,Vendor_23,23737.21,Utilities,Sunita Rao,Priya Singh
V1005,2025-01-27,Vendor_9,23737.6,Office Supplies,Priya Singh,Vikram Nair
V1006,2024-08-21,Vendor_5,145534.07,Travel,Amit Verma,Rahul Sharma
V1007,2024-05-20,Vendor_12,64626.99,Consulting,Vikram Nair,Amit Verma
V1008,2024-04-23,Vendor_24,18759.93,Rent,Vikram Nair,Vikram Nair
V1009,2024-10-11,Vendor_3,51612.17,Utilities,Amit Verma,Sunita Rao
V1010,2025-01-21,Vendor_7,18873.89,Salaries,Rahul Sharma,Priya Singh
V1011,2025-03-05,Vendor_8,18830.31,Consulting,Rahul Sharma,Amit Verma
V1012,2024-05-22,Vendor_13,38212.38,Consulting,Sunita Rao,Amit Verma
V1013,2024-10-07,Vendor_12,4427.86,Travel,Amit Verma,Rahul Sharma
V1014,2025-02-06,Vendor_21,5345.63,Travel,Vikram Nair,Priya Singh
V1015,2025-03-19,Vendor_18,17097.12,Travel,Amit Verma,Rahul Sharma
V1016,2024-04-17,Vendor_11,10895.68,Rent,Amit Verma,Rahul Sharma
V1017,2024-07-18,Vendor_19,41076.85,Salaries,Amit Verma,Priya Singh
V1018,2024-12-12,Vendor_13,12099.61,Salaries,Sunita Rao,Priya Singh
V1019,2024-08-14,Vendor_5,7307.44,Travel,Vikram Nair,Amit Verma
V1020,2024-11-06,Vendor_19,129910.55,Rent,Amit Verma,Priya Singh
V1021,2024-06-10,Vendor_17,23936.9,Rent,Rahul Sharma,Priya Singh
V1022,2024-05-27,Vendor_5,32095.81,Salaries,Priya Singh,Vikram Nair
V1023,2025-01-31,Vendor_3,7217.07,Rent,Sunita Rao,Vikram Nair
V1024,2024-12-27,Vendor_9,17405.99,Utilities,Rahul Sharma,Priya Singh
V1025,2024-12-31,Vendor_25,33519.25,Consulting,Amit Verma,Rahul Sharma
V1026,2024-08-29,Vendor_14,9489.67,Travel,Sunita Rao,Rahul Sharma
V1027,2024-08-13,Vendor_17,43680.22,Travel,Vikram Nair,Rahul Sharma
V1028,2024-12-16,Vendor_20,16453.84,Travel,Priya Singh,Sunita Rao
V1029,2025-01-02,Vendor_25,22409.92,Utilities,Rahul Sharma,Sunita Rao
V1030,2024-04-10,Vendor_4,16436.27,Consulting,Amit Verma,Priya Singh
